NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,25,19,25,0.1104408,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,25,19,25,0.2208816,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,25,19,25,0.304597,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,25,19,25,0.4010781,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,25,19,25,0.5083911,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,25,19,25,0.602791,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,25,19,25,0.7077124,0
0,1,2,1,0,0.5075549,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,25,19,25,0.808506,1
0,1,2,2,0,0.9075544,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,25,19,25,0.900277,1
0,1,2,2,0,1.507554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,25,19,25,1.0074,1
0,1,2,2,0,1.907554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,25,19,25,1.104532,1
0,1,2,2,0,2.407553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,25,19,25,1.202274,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,25,19,25,1.307956,1
0,1,2,2,0,3.407552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,25,19,25,1.406976,1
0,1,2,2,0,3.907552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,25,19,25,1.506357,1
0,1,2,2,0,4.407551,8.3085,0.3085001,15,3,27,27,3,27,1,2,7,25,19,25,1.601135,1
1,1,2,1,19.70756,4.90755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,25,19,25,1.701544,1
1,1,2,1,19.20756,5.40755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,25,19,25,1.803988,1
1,1,2,1,18.60756,6.007553,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,25,19,25,1.907662,1
1,1,2,1,18.20756,6.407555,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,25,19,25,2.006676,1
1,1,2,1,17.70755,6.907556,0.3085001,0.3075551,15,3,26.5,27,3,27.3,1,2,7,25,19,25,2.105085,1
1,1,2,1,17.20755,7.407558,0.3085001,0.3075551,15,3,26,27,3,27.3,1,2,7,25,19,25,2.204728,1
1,1,2,1,16.70755,7.907561,0.3085001,0.3075551,15,3,25.49999,27,3,27.3,1,2,7,25,19,25,2.303331,1
1,1,2,2,16.10755,8.507563,0.3085001,0.3085001,15,3,24.89999,27,3,27.3,1,2,7,25,19,25,2.407615,1
1,1,2,2,15.70755,8.907564,0.3085001,0.3085001,15,3,24.49999,27,3,27.3,1,2,7,25,19,25,2.503985,1
1,1,2,2,15.20754,9.407566,0.3085001,0.3085001,15,3,23.99999,27,3,27.3,1,2,7,25,19,25,2.605139,1
1,1,2,2,14.70754,9.907568,0.3085001,0.3085001,15,3,23.49999,27,3,27.3,1,2,7,25,19,25,2.702767,1
1,1,2,1,14.20754,10.40757,0.3085001,8.307555,15,3,22.99998,27,3,27.3,1,2,7,25,19,25,2.802766,1
1,1,2,2,13.70754,10.90757,0.3085001,0.3085001,15,3,22.49998,27,3,27.3,1,2,7,25,19,25,2.907195,1
1,1,2,2,13.20754,11.40757,0.3085001,0.3085001,15,3,21.99998,27,3,27.3,1,2,7,25,19,25,3.003282,1
1,1,2,2,12.60754,12.00758,0.3085001,0.3085001,15,3,21.39998,27,3,27.3,1,2,7,25,19,25,3.110095,1
1,1,2,2,12.10753,12.50758,0.3085001,0.3085001,15,3,20.89998,27,3,27.3,1,2,7,25,19,25,3.207541,1
1,1,2,2,11.70753,12.90758,0.3085001,0.3085001,15,3,20.49998,27,3,27.3,1,2,7,25,19,25,3.305996,1
1,1,2,2,11.20753,13.40758,0.3085001,0.3085001,15,3,19.99997,27,3,27.3,1,2,7,25,19,25,3.400147,1
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,19.49997,27,3,27.3,1,2,7,25,19,25,3.501519,1
1,1,1,1,10.60753,14.00758,2.607556,8.007554,15,3,18.99997,27,3,27.3,1,2,7,25,19,25,3.601792,4
2,2,1,1,0.6084726,0.008527515,3.107558,7.507552,15,3,18.49997,27,3,27.3,1,2,7,25,19,25,3.70166,4
2,2,1,1,0.6084726,0.008527515,3.607559,7.00755,15,3,17.99997,27,3,27.3,1,2,7,25,19,25,3.800608,4
