NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,19,11,27,0.1451482,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,19,11,27,0.2048928,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,19,11,27,0.3040783,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,19,11,27,0.4062251,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,19,11,27,0.5489848,1
0,1,2,1,0,0.6075547,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,19,11,27,0.6186998,1
0,1,2,2,0,1.107554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,19,11,27,0.7078009,1
0,1,2,2,0,1.607554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,19,11,27,0.8120624,1
0,1,2,2,0,2.107553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,19,11,27,0.9058191,1
0,1,2,2,0,2.607553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,19,11,27,1.001065,1
0,1,2,2,0,3.707552,0.3085001,0.3085,15,3,3,27,27,27,1,2,11,19,11,27,1.225014,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,19,11,27,1.256472,1
0,1,2,2,0,4.107552,8.3085,0.3085001,15,3,3,27,27,27,1,2,11,19,11,27,1.304862,1
0,1,2,2,0,4.607551,8.3085,0.3085001,15,3,3,27,27,27,1,2,11,19,11,27,1.40307,1
1,1,2,1,19.50756,5.10755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,19,11,27,1.504905,1
1,1,2,1,19.00756,5.607551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,19,11,27,1.60706,1
1,1,2,1,18.50756,6.107553,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,19,11,27,1.705054,1
1,1,2,1,18.00756,6.607555,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,19,11,27,1.803719,1
1,1,2,1,17.50755,7.107557,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,19,11,27,1.902441,1
1,1,2,1,17.00755,7.607559,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,19,11,27,2.011647,1
1,1,2,2,16.50755,8.107561,0.3085001,0.3085001,15,3,2.7,27,27,26.5,1,2,11,19,11,27,2.10532,1
1,1,2,2,16.00755,8.607563,0.3085001,0.3085001,15,3,2.7,27,27,26,1,2,11,19,11,27,2.209809,1
1,1,2,2,15.50755,9.107565,0.3085001,0.3085001,15,3,2.7,27,27,25.49999,1,2,11,19,11,27,2.305443,1
1,1,2,2,15.00754,9.607568,0.3085001,0.3085001,15,3,2.7,27,27,24.99999,1,2,11,19,11,27,2.406628,1
1,1,2,1,14.50754,10.10757,0.3085001,8.307555,15,3,2.7,27,27,24.49999,1,2,11,19,11,27,2.5151,1
1,1,2,1,14.00754,10.60757,0.3085001,8.307555,15,3,2.7,27,27,23.99999,1,2,11,19,11,27,2.607717,1
1,1,2,2,13.50754,11.10757,0.3085001,0.3085001,15,3,2.7,27,27,23.49999,1,2,11,19,11,27,2.702803,1
