NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,3,25,21,27,0.1125072,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,3,25,21,27,0.202724,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,3,25,21,27,0.3009368,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,3,25,21,27,0.4053321,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,3,25,21,27,0.5042599,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,3,25,21,27,0.6051891,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,3,25,21,27,0.7014792,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,3,25,21,27,0.8035709,0
0,1,2,2,0,0.7075546,0.3085001,0.3085001,15,3,3,27,27,27,0,2,3,25,21,27,0.9055887,1
0,1,2,2,0,1.207554,0.3085001,0.3085001,15,3,3,27,27,27,0,2,3,25,21,27,1.006258,1
0,1,2,2,0,1.707554,0.3085001,0.3085001,15,3,3,27,27,27,0,2,3,25,21,27,1.1064,1
0,1,2,2,0,2.207553,0.3085001,0.3085001,15,3,3,27,27,27,0,2,3,25,21,27,1.207969,1
0,1,2,2,0,2.707553,0.3085001,0.3085001,15,3,3,27,27,27,0,2,3,25,21,27,1.308099,1
0,1,2,2,0,3.207552,0.3085001,0.3085001,15,3,3,27,27,27,0,2,3,25,21,27,1.405936,1
0,1,2,2,0,3.707552,0.3085001,0.3085,15,3,3,27,27,27,0,2,3,25,21,27,1.500116,1
0,1,2,2,0,4.207551,8.3085,0.3085001,15,3,3,27,27,27,0,2,3,25,21,27,1.603101,1
0,1,2,1,0,4.707551,0.3085001,0.3075551,15,3,3,27,27,27,0,2,3,25,21,27,1.707922,1
0,1,2,1,0,5.207551,0.3085001,0.3075551,15,3,3,27,27,27,0,2,3,25,21,27,1.806785,1
0,1,2,1,0,5.707551,0.3085,0.3075551,15,3,3,27,27,27,0,2,3,25,21,27,1.909844,1
0,1,2,1,0,6.207554,0.3085001,0.3075551,15,3,3,27,27,27,0,2,3,25,21,27,2.01194,1
0,1,2,1,0,6.707556,0.3085001,0.3075551,15,3,3,27.3,26.5,27,0,2,3,25,21,27,2.100156,1
0,1,2,1,0,7.207557,0.3085001,0.3075551,15,3,3,27.3,26,27,0,2,3,25,21,27,2.202227,1
0,1,2,1,0,7.70756,0.3085,0.3075551,15,3,3,27.3,25.49999,27,0,2,3,25,21,27,2.302102,1
0,1,2,2,0,8.207561,0.3085001,0.3085001,15,3,3,27.3,24.99999,27,0,2,3,25,21,27,2.404568,1
0,1,2,2,0,8.707563,0.3085,0.3085,15,3,3,27.3,24.49999,27,0,2,3,25,21,27,2.505832,1
0,1,2,2,0,9.207565,0.3085001,0.3085001,15,3,3,27.3,23.99999,27,0,2,3,25,21,27,2.60418,1
0,1,2,2,0,9.707567,0.3085001,0.3085001,15,3,3,27.3,23.49999,27,0,2,3,25,21,27,2.701827,1
0,1,2,1,0,10.20757,0.3085001,8.307555,15,3,3,27.3,22.99998,27,0,2,3,25,21,27,2.808009,1
0,1,2,2,0,10.70757,0.3085001,0.3085001,15,3,3,27.3,22.49998,27,0,2,3,25,21,27,2.910128,1
0,1,2,2,0,11.20757,0.3085001,0.3085001,15,3,3,27.3,21.99998,27,0,2,3,25,21,27,3.002071,1
1,1,2,2,12.90753,11.70757,0.3085001,0.3085,15,3,3,27.3,21.49998,27,1,2,3,25,21,27,3.100822,1
1,1,2,2,12.40753,12.20758,0.3085001,0.3085001,15,3,3,27.3,20.99998,27,1,2,3,25,21,27,3.210664,1
1,1,2,2,11.90753,12.70758,0.3085001,0.3085001,15,3,3,27.3,20.49998,27,1,2,3,25,21,27,3.303061,1
1,1,2,2,11.40753,13.20758,0.3085001,0.3085001,15,3,3,27.3,19.99997,27,1,2,3,25,21,27,3.41052,1
1,1,2,2,10.90753,13.70758,0.3085001,0.3085001,15,3,3,27.3,19.49997,27,1,2,3,25,21,27,3.509755,1
1,1,1,1,10.60753,14.00758,2.407556,8.207555,15,3,3,27.3,18.99997,27,1,2,3,25,21,27,3.606779,4
2,2,1,1,0.6084726,0.008527515,3.307559,7.307551,15,3,3,27.3,18.09997,27,1,2,3,25,21,27,3.7967,4
2,2,1,1,0.6084726,0.008527515,3.407559,7.207551,15,3,3,27.3,17.99997,27,1,2,3,25,21,27,3.806733,4
