NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,3,5,27,25,0.1700768,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,3,5,27,25,0.2059569,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,3,5,27,25,0.3014725,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,3,5,27,25,0.4080386,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,3,5,27,25,0.5074581,0
0,1,2,1,0,0.5075549,0.3085001,8.307555,15,3,27,27,3,27,1,2,3,5,27,25,0.6056091,1
0,1,2,2,0,1.007554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,3,5,27,25,0.7070326,1
0,1,2,2,0,1.507554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,3,5,27,25,0.8009091,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,3,5,27,25,0.9014907,4
0,1,2,2,0,1.807554,0.6085012,0.008498904,15,3,27,27,3,27,1,2,3,5,27,25,1.006989,2
0,1,2,2,0,1.307554,0.6085013,0.008498904,15,3,27,27,3,27,1,2,3,5,27,25,1.105134,2
0,1,2,2,0,0.8075546,0.6085013,0.008498904,15,3,27,27,3,27,1,2,3,5,27,25,1.206403,2
0,1,2,1,0,0.407555,0.6085013,8.007554,15,3,27,27,3,27,1,2,3,5,27,25,1.306787,4
2,1,2,1,0.2085001,0.407555,1.008503,7.607553,15,3,27,27,3,27,1,2,3,5,27,25,1.401663,4
2,1,2,1,0.2085001,0.407555,1.608505,7.00755,15,3,27,27,3,27,1,2,3,5,27,25,1.509441,4
2,1,2,1,0.2085001,0.407555,2.008507,6.607548,15,3,27,27,3,27,1,2,3,5,27,25,1.607461,4
2,1,2,1,0.2085001,0.407555,2.508508,6.107546,15,3,27,27,3,27,1,2,3,5,27,25,1.706386,4
2,1,2,1,0.2085001,0.407555,3.00851,5.607544,15,3,27,27,3,27,1,2,3,5,27,25,1.80771,4
