NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,23,27,21,0.1031926,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,23,27,21,0.2063852,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,23,27,21,0.3078171,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,23,27,21,0.407934,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,23,27,21,0.5109124,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,23,27,21,0.6082801,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,23,27,21,0.703651,1
0,1,2,2,0,0.9075544,0.3085001,0.3085001,15,3,27,27,3,27,1,2,15,23,27,21,0.8080611,1
0,1,2,2,0,1.407554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,15,23,27,21,0.9058678,1
0,1,2,2,0,1.907554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,15,23,27,21,1.009583,1
0,1,2,2,0,2.407553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,15,23,27,21,1.109775,1
0,1,2,2,0,2.907553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,15,23,27,21,1.206491,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,15,23,27,21,1.304776,1
0,1,2,2,0,3.907552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,15,23,27,21,1.405695,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,27,27,3,27,1,2,15,23,27,21,1.502344,1
1,1,2,1,19.80756,4.807551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,15,23,27,21,1.602816,1
1,1,2,1,19.30756,5.30755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,15,23,27,21,1.702627,1
1,1,2,1,18.70756,5.907552,0.3085001,0.3075551,15,3,27,27,3,27,1,2,15,23,27,21,1.805797,1
1,1,2,1,18.20756,6.407555,0.3085001,0.3075551,15,3,27,27,3,27,1,2,15,23,27,21,1.907363,1
1,1,2,1,17.70755,6.907556,0.3085001,0.3075551,15,3,27,27,3,27,1,2,15,23,27,21,2.006198,1
1,1,2,1,17.30755,7.307558,0.3085001,0.3075551,15,3,27,27,3.4,27,1,2,15,23,27,21,2.100646,1
1,1,2,1,16.80755,7.80756,0.3085001,0.3075551,15,3,27,27,3.899999,27,1,2,15,23,27,21,2.204747,1
1,1,2,2,16.20755,8.407562,0.3085001,0.3085001,15,3,27,27,4.499999,27,1,2,15,23,27,21,2.307498,1
1,1,2,2,15.80755,8.807564,0.3085001,0.3085001,15,3,27,27,4.899998,27,1,2,15,23,27,21,2.402596,1
1,1,2,2,15.30754,9.307566,0.3085001,0.3085001,15,3,27,27,5.399998,27,1,2,15,23,27,21,2.503637,1
1,1,2,2,14.70754,9.907568,0.3085001,0.3085001,15,3,27,27,5.999997,27,1,2,15,23,27,21,2.607112,1
1,1,2,1,14.30754,10.30757,0.3085001,8.307554,15,3,27,27,6.399997,27,1,2,15,23,27,21,2.701302,1
1,1,2,2,13.80754,10.80757,0.3085001,0.3085001,15,3,27,27,6.899996,27,1,2,15,23,27,21,2.800796,1
1,1,2,2,13.30754,11.30757,0.3085001,0.3085001,15,3,27,27,7.399996,27,1,2,15,23,27,21,2.904549,1
5,1,2,2,11.31053,11.80758,0.3085001,0.3085001,15,3,27,27,7.899995,27,1,2,15,23,27,21,3.004483,1
5,1,2,2,10.71053,12.40758,0.3085001,0.3085001,15,3,27,27,8.499997,27,1,2,15,23,27,21,3.106157,1
1,1,2,2,11.70753,12.90758,0.3085001,0.3085001,15,3,27,27,8.999999,27,1,2,15,23,27,21,3.206907,1
1,1,2,2,11.30753,13.30758,0.3085001,0.3085001,15,3,27,27,9.400001,27,0,2,15,23,27,21,3.302827,1
0,1,2,2,0,13.80758,0.3085001,0.3085001,15,3,27,27,9.900002,27,0,2,15,23,27,21,3.400783,1
0,1,1,1,0,14.40758,2.307555,8.307554,15,3,27,27,10.5,27,0,2,15,23,27,21,3.507482,1
0,1,2,2,0,14.80759,0.3085001,0.3085001,15,3,27,27,10.90001,27,0,2,15,23,27,21,3.602829,1
