NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,9,17,19,21,0.1418962,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,9,17,19,21,0.2014282,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,9,17,19,21,0.3016176,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,9,17,19,21,0.4025176,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,9,17,19,21,0.5033675,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,9,17,19,21,0.605965,1
0,1,2,2,0,0.8075545,0.3085001,0.3085001,15,3,27,27,3,27,1,2,9,17,19,21,0.7048091,1
0,1,2,2,0,1.307554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,9,17,19,21,0.8019802,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,9,17,19,21,0.9047679,1
0,1,2,2,0,2.307553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,9,17,19,21,1.006171,1
0,1,2,2,0,2.807553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,9,17,19,21,1.101791,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,9,17,19,21,1.203175,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,9,17,19,21,1.302662,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,27,27,3,27,1,2,9,17,19,21,1.40165,1
1,1,2,1,19.80756,4.807551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,9,17,19,21,1.508264,1
1,1,2,1,19.30756,5.30755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,9,17,19,21,1.602409,1
1,1,2,1,18.80756,5.807552,0.3085001,0.3075551,15,3,27,27,3,27,1,2,9,17,19,21,1.702738,1
1,1,2,1,18.30756,6.307554,0.3085001,0.3075551,15,3,27,27,3,27,1,2,9,17,19,21,1.803614,1
1,1,2,1,17.80755,6.807556,0.3085001,0.3075551,15,3,27,27,3,27,1,2,9,17,19,21,1.906569,1
1,1,2,1,17.30755,7.307558,0.3085001,0.3075551,15,3,27,27,3,27,1,2,9,17,19,21,2.006701,1
1,1,2,1,16.80755,7.80756,0.3085001,0.3075551,15,3,27,26.5,3,27.3,1,2,9,17,19,21,2.103861,1
1,1,2,2,16.30755,8.307562,0.3085001,0.3085001,15,3,27,26,3,27.3,1,2,9,17,19,21,2.200483,1
1,1,2,2,15.80755,8.807564,0.3085001,0.3085001,15,3,27,25.49999,3,27.3,1,2,9,17,19,21,2.306526,1
1,1,2,2,15.30754,9.307566,0.3085001,0.3085001,15,3,27,24.99999,3,27.3,1,2,9,17,19,21,2.401354,1
1,1,2,2,14.80754,9.807568,0.3085001,0.3085001,15,3,27,24.49999,3,27.3,1,2,9,17,19,21,2.504651,1
1,1,2,1,14.30754,10.30757,0.3085001,8.307554,15,3,27,23.99999,3,27.3,1,2,9,17,19,21,2.605431,1
1,1,2,2,13.80754,10.80757,0.3085001,0.3085001,15,3,27,23.49999,3,27.3,1,2,9,17,19,21,2.707805,1
1,1,2,2,13.30754,11.30757,0.3085001,0.3085001,15,3,27,22.99998,3,27.3,1,2,9,17,19,21,2.800926,1
1,1,2,2,12.80754,11.80758,0.3085001,0.3085001,15,3,27,22.49998,3,27.3,1,2,9,17,19,21,2.906334,1
1,1,2,2,12.30753,12.30758,0.3085001,0.3085001,15,3,27,21.99998,3,27.3,1,2,9,17,19,21,3.001591,1
1,1,2,2,11.80753,12.80758,0.3085001,0.3085001,15,3,27,21.49998,3,27.3,1,2,9,17,19,21,3.105556,1
1,1,2,2,11.30753,13.30758,0.3085001,0.3085001,15,3,27,20.99998,3,27.3,1,2,9,17,19,21,3.20243,1
1,1,2,2,10.80753,13.80758,0.3085001,0.3085001,15,3,27,20.49998,3,27.3,1,2,9,17,19,21,3.301392,1
1,1,1,1,10.40753,14.20758,2.307555,8.307554,15,3,27,19.99997,3,27.3,1,2,9,17,19,21,3.404848,4
2,2,1,1,0.4084719,0.2085283,2.707557,7.907553,15,3,27,19.49997,3,27.3,1,2,9,17,19,21,3.503383,4
2,2,1,1,0.4084719,0.2085283,3.207559,7.407551,15,3,27,18.99997,3,27.3,1,2,9,17,19,21,3.602476,4
2,2,1,1,0.4084719,0.2085283,3.70756,6.907549,15,3,27,18.49997,3,27.3,1,2,100,100,19,21,3.701151,4
2,2,1,1,0.4084719,0.2085283,4.207561,6.407548,15,3,27,17.99997,3,27.3,1,2,100,100,19,21,3.80295,4
2,2,1,1,0.4084719,0.2085282,4.707564,5.907546,15,3,27,17.49996,3,27.3,1,2,100,100,19,21,3.900444,4
2,2,1,1,0.4084719,0.2085283,5.207566,5.407544,15,3,27,16.99996,3,27.3,1,2,100,100,19,21,4.005934,4
2,2,1,1,0.4084719,0.2085283,5.707565,4.907544,15,3,27,16.69996,3,26.8,1,2,100,100,19,21,4.109537,4
1,2,1,1,10.40753,0.2085283,6.207565,4.407545,15,3,27,16.69996,3,26.3,1,2,100,100,19,21,4.201443,4
2,2,1,1,0.4084719,0.2085283,6.707564,3.907545,15,3,27,16.69996,3,25.8,1,2,100,100,19,21,4.301583,4
2,2,1,1,0.4084719,0.2085283,7.207564,3.407546,15,3,27,16.69996,3,25.29999,1,2,100,100,19,21,4.401745,4
2,2,1,1,0.4084719,0.2085283,7.707563,2.907547,15,3,27,16.69996,3,24.79999,1,2,100,100,19,21,4.505974,4
2,2,1,1,0.4084719,4.208528,8.207563,2.407547,15,3,27,16.69996,3,24.29999,1,2,100,100,19,21,4.600943,4
2,2,1,1,0.4084719,0.2085283,8.707562,1.907547,15,3,27,16.69996,3,23.79999,1,2,100,100,19,21,4.703677,4
2,2,1,1,0.4084719,0.2085283,9.207562,1.407548,15,3,27,16.69996,3,23.29999,1,2,100,100,19,21,4.805264,4
2,2,1,1,0.4084719,0.2085283,9.507562,1.107548,15,3,27,16.69996,3,22.79998,1,2,100,100,19,21,4.904512,3
2,2,1,1,0.4084719,0.2085283,9.007563,1.607548,15,3,27,16.69996,3,22.29998,1,2,100,100,19,21,5.002843,3
2,2,1,1,0.4084719,4.208528,8.507564,2.107547,15,3,27,16.69996,3,21.79998,1,2,100,100,19,21,5.103783,3
2,2,1,1,0.4084719,4.208528,8.007564,2.607547,15,3,27,16.69996,3,21.29998,1,2,100,100,19,21,5.203578,3
2,2,1,5,0.4084719,0.2085283,7.607564,1.501195,15,3,27,16.69996,3,20.79998,1,2,100,100,19,21,5.300138,0
2,2,1,5,0.4084719,4.208528,8.007564,1.101196,15,3,27,16.69996,3,20.29997,1,2,100,100,19,21,5.400696,4
2,2,1,1,0.4084719,4.208528,8.307563,2.307547,15,3,27,16.69996,3,19.79997,1,2,100,100,19,21,5.502503,0
2,2,1,1,0.4084719,4.208528,8.307563,2.307547,15,3,27,16.69996,3,19.29997,1,2,100,100,19,21,5.605915,0
2,2,1,1,0.4084719,4.208528,8.307563,2.307547,15,3,27,16.69996,3,18.79997,1,2,100,100,19,21,5.70328,0
2,2,1,0,0.4084719,4.208528,8.307563,0,15,3,27,16.69996,3,18.29997,0,2,100,100,19,21,5.805669,0
2,2,1,6,0.4084719,4.208528,8.307563,0.657742,15,3,27,16.69996,3,17.79996,1,2,100,100,19,21,5.908679,0
2,2,1,6,0.4084719,4.208528,8.307563,0.657742,15,3,27,16.69996,3,17.29996,1,2,100,100,19,21,6.004367,0
2,2,1,6,0.4084719,4.208528,8.307563,0.9577417,15,3,27,16.29996,2.7,17.29996,0,2,100,100,19,21,6.104352,0
2,2,1,1,0.4084719,4.208528,8.307563,2.307547,15,3,27,15.79996,100,100,1,2,100,100,19,21,6.203911,0
2,2,1,1,0.4084719,4.208528,8.307563,2.307547,15,3,27,15.69996,100,100,1,2,100,100,19,21,6.307313,0
2,2,1,1,0.4084719,4.208528,8.307563,2.307547,15,3,27,15.69996,100,100,1,2,100,100,19,21,6.405249,0
2,2,1,1,0.4084719,0.2085283,7.907563,2.707547,15,3,27,15.69996,100,100,1,2,100,100,19,21,6.510057,3
2,2,1,1,0.4084719,0.2085283,7.407564,3.207546,15,3,27,15.69996,100,100,1,2,100,100,19,21,6.603485,3
2,2,1,1,0.4084719,0.2085283,6.907565,3.707546,15,3,27,15.69996,100,100,1,2,100,100,19,21,6.703058,3
1,2,1,1,10.40753,0.2085283,6.407565,4.207545,15,3,27,15.69996,100,100,1,2,100,100,19,21,6.809111,3
2,2,1,1,0.4084719,0.2085283,5.907565,4.707544,15,3,27,15.69996,100,100,1,2,100,100,19,21,6.900073,3
2,2,1,1,0.4084719,0.2085283,5.407566,5.207544,15,3,27,15.69996,100,100,1,2,100,100,19,21,7.00199,3
