NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,17,23,27,0.1305174,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,17,23,27,0.2020775,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,17,23,27,0.3018197,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,17,23,27,0.4028538,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,17,23,27,0.505056,0
0,1,2,1,0,0.6075547,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,17,23,27,0.6076568,1
0,1,2,2,0,1.107554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,17,23,27,0.7031943,1
0,1,2,2,0,1.607554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,17,23,27,0.8034566,1
0,1,2,2,0,2.107553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,17,23,27,0.9009266,1
0,1,2,2,0,2.607553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,17,23,27,1.009832,1
0,1,2,2,0,3.107553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,17,23,27,1.107226,1
0,1,2,2,0,3.607552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,17,23,27,1.202279,1
0,1,2,2,0,4.107552,8.3085,0.3085001,15,3,27,27,3,27,1,2,23,17,23,27,1.309226,1
0,1,2,2,0,4.607551,8.3085,0.3085001,15,3,27,27,3,27,1,2,23,17,23,27,1.402158,1
1,1,2,1,19.50756,5.10755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,23,17,23,27,1.509645,1
1,1,2,1,19.00756,5.607551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,23,17,23,27,1.606691,1
1,1,2,1,18.50756,6.107553,0.3085001,0.3075551,15,3,27,27,3,27,1,2,23,17,23,27,1.700358,1
1,1,2,1,18.00756,6.607555,0.3085001,0.3075551,15,3,27,27,3,27,1,2,23,17,23,27,1.800556,1
1,1,2,1,17.50755,7.107557,0.3085001,0.3075551,15,3,27,27,3,27,1,2,23,17,23,27,1.904123,1
1,1,2,1,17.00755,7.607559,0.3085001,0.3075551,15,3,27,27,3,27,1,2,23,17,23,27,2.000545,1
1,1,2,2,16.50755,8.107561,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,23,17,23,27,2.108303,1
1,1,2,2,16.00755,8.607563,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,23,17,23,27,2.204401,1
1,1,2,2,15.50755,9.107565,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,23,17,23,27,2.307256,1
1,1,2,2,15.00754,9.607568,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,23,17,23,27,2.402874,1
1,1,2,1,14.50754,10.10757,0.3085001,8.307555,15,3,27.3,27,2.7,27,1,2,23,17,23,27,2.50171,1
1,1,2,1,14.00754,10.60757,0.3085001,8.307555,15,3,27.3,27,2.7,27,1,2,23,17,23,27,2.606643,1
1,1,2,2,13.50754,11.10757,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,23,17,23,27,2.710785,1
1,1,2,2,13.00754,11.60757,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,23,17,23,27,2.802574,1
1,1,2,2,12.50753,12.10758,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,23,17,23,27,2.906608,1
1,1,2,2,12.30753,12.30758,0.1084993,0.5085009,15,3,27.3,27,2.7,27,1,2,23,17,23,27,3.001392,3
1,1,2,2,12.30753,12.30758,1.008499,0.6085013,15,3,27.3,27,2.7,27,1,2,23,17,23,27,3.110011,3
2,2,2,2,2.308478,0.308522,0.5084971,1.108503,15,3,27.3,27,2.7,27,1,2,23,17,23,27,3.200207,3
2,2,2,2,2.308478,0.308522,3.008495,1.608505,15,3,27.3,27,2.7,27,1,2,23,17,23,27,3.30998,3
2,2,2,2,2.308478,0.308522,2.508493,2.108507,15,3,27.3,27,2.7,27,1,2,23,17,23,27,3.408438,3
2,2,0,2,2.308478,0.308522,0,2.608509,15,3,27.3,27,2.7,27,0,2,23,17,23,27,3.507543,3
1,2,2,2,0.3075331,0.308522,2.508489,3.108511,15,3,27.3,27,2.7,27,1,2,23,17,23,27,3.600113,3
1,2,0,2,0.3075331,0.308522,0,3.608513,15,3,27.3,27,2.7,27,0,2,23,17,23,27,3.709612,3
1,2,2,2,0.3075331,0.308522,4.508485,4.108514,15,3,27.3,27,2.7,27,1,2,23,17,23,27,3.808792,3
